"poll_id","status","Latitude","Longitude","location_line_1","location_line_2","city","Precincts"
8279,"A",41.5017539999999983,-81.6116159999999979,"JOHN HAY HIGH SCHOOL","2075 STOKES BOULEVARD","CLEVELAND","6D 6G 6O"
6250,"A",41.4260050000000035,-81.9010159999999985,"JOHN KNOX PRESBYTERIAN CHURCH","25200 LORAIN ROAD","NORTH OLMSTED","1A 1B 1C 1E 2D 2E 4E"
6700,"A",41.4111070000000012,-81.6969390000000004,"JOHN MUIR ELEMENTARY SCHOOL","5531 WEST 24TH STREET","PARMA","4A 4E"
3320,"A",41.4921629999999979,-81.7099620000000044,"LAKEVIEW TOWERS APARTMENTS","2700 WASHINGTON AVENUE","CLEVELAND","7A 7H"
5570,"A",41.4856800000000021,-81.7778449999999992,"LAKEWOOD CITY HALL","12650 DETROIT AVENUE","LAKEWOOD","4E 4I 4J"
5680,"A",41.4857129999999970,-81.7959010000000006,"LAKEWOOD PRESBYTERIAN CHURCH","14502 DETROIT AVENUE","LAKEWOOD","2B 3B"
5720,"A",41.4855969999999985,-81.8077380000000005,"LAKEWOOD UNITED METHODIST CHURCH","15700 DETROIT AVENUE","LAKEWOOD","1I 2E"
8189,"A",41.4945269999999979,-81.7976620000000025,"LAKEWOOD WOMANS CLUB PAVILION","14532 LAKE AVE","LAKEWOOD","2A 2C"
8048,"A",41.4959610000000012,-81.5646509999999978,"LEE ROAD LIBRARY","2345 LEE ROAD","CLEVELAND HTS","2F 3D 3F"
3430,"A",41.4667630000000003,-81.7019250000000028,"LINCOLN WEST HIGH SCHOOL","3202 WEST 30TH STREET","CLEVELAND","14I 14J 140"
7290,"A",41.4603930000000034,-81.5537450000000064,"LOMOND ELEMENTARY SCHOOL","17917 LOMOND BOULEVARD","SHAKER HTS","K L M"
2070,"A",41.4828389999999985,-81.7570170000000047,"LOUISA MAY ALCOTT ELEMENTARY SCHOOL","10308 BALTIC ROAD","CLEVELAND","11B 12A 12B 12C"
2860,"A",41.4706210000000013,-81.6946200000000005,"LUIS MUNOZ MARIN MIDDLE SCHOOL","1701 CASTLE AVENUE","CLEVELAND","14G 14H (No Active Splits Nov 2025)"
8083,"A",41.5231070000000031,-81.4889060000000001,"LYNDHURST COMMUNITY CENTER","1341 PARKVIEW DRIVE","LYNDHURST","1A 1B 1C 2A 2B"
5880,"A",41.5190660000000022,-81.4882889999999946,"LYNDHURST COMMUNITY OF FAITH CHURCH","5312 MAYFIELD ROAD","LYNDHURST","3B 3C"
8328,"A",41.5072952284476671,-81.6474424438059430,"MAGNET CONSULTING","1800 EAST 63RD STREET","CLEVELAND","8Q"
6240,"A",41.4393049999999974,-81.8890659999999997,"MAPLE ELEMENTARY SCHOOL","24101 MAPLE RIDGE ROAD","NORTH OLMSTED","2A 2B 2C"
8080,"A",41.4178679999999986,-81.5697739999999953,"MAPLE HTS BRANCH LIBRARY","5225 LIBRARY LANE","MAPLE HTS","3A 3B"
8160,"A",41.4061030000000017,-81.5988449999999972,"MAPLE LEAF ELEMENTARY SCHOOL","5764 TURNEY ROAD","GARFIELD HTS","6A 6B 6C 7A 7B 7C"
3380,"A",41.4970009999999974,-81.6656909999999954,"MARION STERLING ELEMENTARY SCHOOL","3033 CENTRAL AVENUE","CLEVELAND","5A 5G 5O"
2290,"A",41.5151583278601493,-81.6050538657309232,"MARY M BETHUNE SCHOOL","11815 MOULTON AVENUE","CLEVELAND","6F 9F 9K 9P 9R"
8203,"A",41.4739739999999983,-81.7293990000000008,"MAX S. HAYES HIGH SCHOOL","2211 WEST 65TH STREET","CLEVELAND","14B 14F"
8074,"A",41.5339370000000017,-81.5852490000000046,"MAYFAIR ELEMENTARY SCHOOL","13916 MAYFAIR AVENUE","EAST CLEVELAND","3B 3D 3E"
